Complexity,Loss,Equation
1,4.948537e-5,"0.24561992"
5,1.5446061e-6,"(-3.4377 / n) - -0.24833147"
6,1.4953619e-6,"exp(-15.606237 / n) * 0.24878776"
7,1.4342065e-6,"(-3.9443085 / (n + 9.294747)) - -0.2485796"
8,9.924971e-7,"(-0.20370732 / (sqrt(n) + -4.1861863)) - -0.2511915"
13,9.838434e-7,"(-0.21003811 / (sqrt(n - (sqrt(n) + 6.408468)) + -3.0864682)) - -0.2512643"
15,9.838176e-7,"(-0.21003811 / (sqrt(n - (sqrt(-0.48815608 + n) + 6.408468)) + -3.0864682)) - -0.2512643"
19,9.809054e-7,"(-0.15354931 / (sqrt((n + -6.5019956) - ((n - (n * 0.3759342)) + sqrt(n))) + -0.15529484)) - -0.2518684"
