Complexity,Loss,Equation
1,0.5005966,"9.83939"
4,0.0014789316,"log(n) * 1.2654923"
6,0.00012984735,"(log(n) * 1.2031957) - -0.48700628"
8,0.00012956906,"(log(n + -3.8908758) * 1.2003855) + 0.5112449"
12,0.00012956088,"(log((-6.014797 / log(log(n))) + n) * 1.2008137) + 0.5073796"
13,0.00012954787,"(log(n + (-5.470949 / log(sqrt(sqrt(n))))) * 1.2007104) + 0.5081703"
15,0.00012952936,"(log((-5.470935 / log(sqrt(sqrt(n) + -7.8137226))) + n) * 1.2003965) + 0.5107186"
18,0.00012952887,"(1.2003965 * log(n + (-5.470935 / log(sqrt((-7.2813406 + log(0.42336974)) + sqrt(n)))))) + 0.5107186"
19,0.00012951261,"(log((-5.470935 / log((log(n) + -7.2813406) + log(n ^ 0.8014618))) + n) * 1.2003965) + 0.5107186"
